userName,score,content,at
Pengguna Google,1,"Aplikasi tidak bisa diakses, berulang kali ingin ganti pin karena lupa pin tapi hanya bolak balik di laman profil data diri karna diminta mengganti email atau nomor telpon, sudah diganti tidak ada kelanjutan opsi hanya memuat halaman data diri saja tanpa pernah memuat beranda dsb jadi tidak pernah tau tampilan aplikasi ini dan fungsinya",2025-02-27 04:33:12
Pengguna Google,1,"Aplikasi nya tidak siap, banyak bug nya, mulai dari tiket yang sudah di daftarkan tiba2 hilang, ngomongnya kesalahan data, udah pilih tema ngomongnya anda belum pilih tema, dana buat bikin aplikasi di korupsi yang gini ini, bukannya malah membantu, malah menyusahkan, tipikal aplikasi pemerintah",2025-02-25 22:57:15
Pengguna Google,1,"Aplikasi tidak jelas dan belum siap. Sudah masukin email tp halaman tdk mau berganti, giliran sdh ganti ke halaman verifikasi malah menolak kode verif padahal itu kode yg benar. Aplikasi yg sangat menyulitkan tp wajib mengisi untuk kepentingan penerbangan.",2025-03-03 01:42:50
Pengguna Google,1,"Haduh,, aplikasi pemerintah lagi. Apresiasi ada aplikasinya. Tapi mau login aja berjam-jam cuman masukin pin doang. Ini sinyalnya harus 5G dulu apa gimana baru bisa login! Sudah banyak yang komplain loh, sampai rating 3, gini masa ngga ada perbaikan.",2025-03-23 00:18:26
Pengguna Google,4,"admin, saya tidak bisa masuk ke aplikasi, ngestuck di tampilan pilih tema, dan ga bis pilih lanjut atau pun batal, muncul keterangan 'terjadi gangguan' silahkan hubungi helpdesch, sudah pake wifi maupun kuota pribadi dan ganti jaringan.",2025-03-22 20:08:11
Pengguna Google,1,"Aplikasi nasional ko lemot banget, punya orang IT canggih canggih kan pasti, suruh pada kerja benerin nih aplikasi, email verifikasi masuk, tapi tampilan pin di aplikasi nya ga mau masuk masuk, aneh.",2025-03-14 12:19:21
Pengguna Google,1,"mohon bantuannya aplikasi nya ngebug, ketika kirim kode lewat email. kodenya sih sudah terkirim, tetapi di aplikasi nya tidak berubah sama sekali. alias menu untuk masukin kode nya tidak ada, terus gimana??? Mohon bantuannya tetap tidak bisa login!!",2025-04-10 06:51:52
Pengguna Google,1,"Tidak bisa login email pakai aplikasi. Sedangkan pakai chrome bisa, dan email terverifikasi. Sudah chat pihak developer tp tidak ada balasan. Apa fungsi dari menu hub pihak develov yg ada di aplikasi??? Gara2 ini nama saya tidak bisa masuk renbuss..🤦",2025-03-01 11:45:56
Pengguna Google,1,aplikasi tidak bekerja dengan baik apa duit untuk membuat aplikasi ini di korupsi juga .? sudah bolak balik instal dan uninstal tapi tetap sama tidak bisa login masuk. hanya stuck di halaman memasukan email. padahal ada email masuk untuk kode otp ? jadi fungsinya kode otp ygdi kirim ke email itu untuk digunakan dimana ?,2025-04-11 05:03:58
Pengguna Google,1,"Lol aneh sekali 1. Baru pertama kali download dan pertama kali untuk coba daftar menggunakan email sudah tertulis akun telah terdaftar. 2. Mencoba login karena di poin 1 tertulis akun telah terdaftar malah keluar notif email/no telf tidak ditemukan coba buat akun baru. 3. Coba pakai IKD juga sama saja tertulis akun tidak terdaftar, memang aneh aplikasi pemerintah ini.",2025-02-26 17:05:22
Pengguna Google,1,"aplikasinya tolong tingkatkan lagi, masa saat ingin login dikirim kode verifikasi melalui email, tapi di aplikasi tidak ada platform untum memasukan kode verifikasi tersebut, jadinya kesulitan untuk log-in. mohon segera diperbaiki dan di tingkatkan lagi untuk log-in ke aplikasi. Terima kasih",2025-02-27 00:59:49
Pengguna Google,1,"Masa setelah pengisian email, bukannya langsung ke mode otp, malah diem aja stuck di halaman login, tapi tiba2 ada email masuk ngasih tau nomor otp. Yah buat apa gitu kan? Ngasih nomor otp, tapi gabisa ke halaman pengisian otp.",2025-03-11 01:09:16
Pengguna Google,1,kenapa aplikasi yang berbau pemerintah bobrok terus ya? ada apa? kenapa selalu begini. tambah anggota keluarga tidak bisa (terjadi gangguan silahakn cb nnti). sinyal kencang pdhl dan baru install banyak mafianya. payah.. jujur dari nurani paling dalam..,2025-04-26 00:06:30
Pengguna Google,1,Sangat aneh untuk mengubah pin di perlukan kode verifikasi dari email tetapi sudah di masukan kode verifikasi dari email malah tidak cocok atau kode verifikasi salah tolong lah developer nya jangan mempersulit,2025-04-25 01:43:22
Pengguna Google,1,"AKUN HILANG, dulu login pakai nik dan sekarang login pakai email akun jadi hilang karena tidak bisa login pakai nik lagi, sms link sertifikat juga sudah tidak bisa dibuka karena server hangus",2025-04-29 11:08:50
Pengguna Google,2,"Mau unduh sertifikat vaksin kok gak bisa2,sudah berulang X. Padahal butuh untuk melamar pekerjaan. Kenapa dipersulit untuk download sertifikat nya. Mohon penyedia layanan Aplikasi untuk mempermudah segala akses untuk Rakyat ni. Ini Aplikasi pemerintah kok ribet sekali🙏🙏🙏",2025-03-10 16:46:36
Pengguna Google,1,Aplikasi ga jelas masukin email sudah dapet balasan email dan dapat kode verifikasinya namun interfacenya tetap di input email gmana sih algoritmanya aplikasi ini nyesel w download udah sampe 3 kali hapus lagi,2025-04-23 14:26:26
Pengguna Google,1,"tidak bisa login, saat login menggunakan email, tidak masuk ke halaman verifikasi, sehingga kode verifikasi yang sudah terkirim tidak bisa digunakan, sudah coba di 3 smartphone berbeda hasilnya tetap sama, sudah menghubungi website kemenkes mengenai masalah ini tapi tidak ada respon, bagaimana solusinya? jangan hanya menyuruh menghubungi web kemenkes lagi, percuma saja kalau tidak ada respon.",2025-03-29 05:52:40
Pengguna Google,1,"aplikasi kurang jelas,, setelah data di masukan harus nunggu sekitar 3 hari baru muncul sertifikasi vaksin nya, lalu saat ada pembaruan aplikasi malah hilang lagi , balik lagi jadi belum vaksin lagi , apakah nunggu 3 hari lagi? seharus nya ga usah ada pembaharuan kalau begitu.. tolong kembangkan lagi",2025-04-20 14:07:44
Pengguna Google,1,"mau daftar akun saja susah sekali, pertama,menunggu kode verifikasi dikirim,tapi tidak dikirim².kedua, setelah dipencet untuk kirim ulang dan kode langsung terkirim,tetapi kodenya dimasukkan expired/tidak bisa,ini bagaimanaa???",2025-03-11 09:13:26
Pengguna Google,1,"Kl aplikasi blm siap jgn dilempar dl ke masyarakat. Pertama masuk gak bisa sdh dicoba berkali-kali katanya ada gangguan, hub helpdesk. Pas besoknya bisa masuk, mau pilih tema gak bisa jg, katanya gangguan, hub helpdesk. Ini apa sih kok disuruh tanya terus ke helpdesk. Mau kembali ke hal sblmnya jg gak bisa",2025-03-22 04:19:12
Pengguna Google,2,"ini bagaimana ya, katanya email katanya belum terdaftar padahal dari aplikasi peduli lindungi pakai email tersebut, lalu dicoba buat akun baru pakai email yg sama katanya malah akun telah terdaftar, jadi solusinya bagaimana ya admin",2025-04-14 08:11:33
Pengguna Google,3,"admin, ini gimana, mau daftar, tapi kode verif ndak dikirim k wa, masukkan daftar ulang nomor ndak bisa dibilang sudah daftar. ndak bisa direset kah? mau daftar ckd lewat wa juga gangguan terus.",2025-04-12 01:51:51
Pengguna Google,1,"bukannya makin maju malah makin error. mau masuk udah masukin email, kodenya sudah terkirim, tapi tampilan dari aplikasinya ini ga muncul buat masukin kode. KOCAK",2025-04-10 10:01:53
Pengguna Google,2,"aplikasi hanya bolak-balik untuk mengisi pembaharuan data tetapi tidak bisa login. mau ubah pun tidak bisa, diulang bolak-balik juga tetap sama.",2025-04-23 02:31:53
Pengguna Google,1,"aplikasi nya tidak jelas, tidak bisa login cuma stak di masukan email/no dan suruh verif, sudh dpt kode verif tapi hanya stak di masukan email, tidak lanjut ke langkah selanjutnya",2025-04-09 08:31:27
